Temperature,ECG,Stress Level
28.4,131,Low
29.0,108,Low
29.0,117,Low
29.4,143,Low
25.0,149,Low
27.8,134,Low
25.4,121,Low
29.3,124,Low
25.4,136,Low
28.2,145,Low
28.5,108,Low
29.5,109,Low
27.4,111,Low
25.0,148,Low
27.6,105,Low
29.7,128,Low
26.6,148,Low
27.5,118,Low
28.6,150,Low
26.4,142,Low
25.1,105,Low
29.1,136,Low
28.6,106,Low
25.9,102,Low
28.3,126,Low
29.9,108,Low
26.5,107,Low
25.8,128,Low
29.7,137,Low
25.4,108,Low
25.1,126,Low
27.2,139,Low
25.9,100,Low
29.7,141,Low
25.5,100,Low
27.1,112,Low
26.9,118,Low
28.6,133,Low
28.8,139,Low
28.2,114,Low
28.5,134,Low
25.6,114,Low
27.0,100,Low
25.8,120,Low
25.5,129,Low
25.5,120,Low
27.7,143,Low
30.0,111,Low
26.1,110,Low
27.3,129,Low
28.0,103,Low
28.3,127,Low
26.5,123,Low
25.7,136,Low
26.8,109,Low
28.1,134,Low
28.3,105,Low
28.1,141,Low
29.5,102,Low
29.7,133,Low
28.8,134,Low
28.3,149,Low
27.3,148,Low
29.3,116,Low
29.0,136,Low
26.3,145,Low
27.1,115,Low
26.0,120,Low
32.0,183,Medium
31.3,189,Medium
31.8,160,Medium
34.5,194,Medium
34.0,170,Medium
34.4,169,Medium
33.2,150,Medium
32.2,191,Medium
33.1,169,Medium
34.8,192,Medium
32.2,193,Medium
33.3,169,Medium
32.0,158,Medium
33.1,175,Medium
31.2,195,Medium
31.5,171,Medium
31.8,166,Medium
32.7,158,Medium
33.7,161,Medium
31.1,156,Medium
32.4,198,Medium
31.3,151,Medium
31.2,173,Medium
32.1,171,Medium
32.3,160,Medium
34.6,162,Medium
33.5,172,Medium
33.1,169,Medium
33.3,200,Medium
34.3,153,Medium
34.8,197,Medium
31.2,165,Medium
35.0,150,Medium
33.4,194,Medium
34.4,172,Medium
32.0,160,Medium
34.5,160,Medium
34.1,200,Medium
34.7,180,Medium
32.1,163,Medium
34.4,180,Medium
33.4,183,Medium
32.3,200,Medium
31.7,151,Medium
33.1,164,Medium
32.3,200,Medium
32.9,172,Medium
34.9,191,Medium
31.4,165,Medium
32.2,160,Medium
33.6,200,Medium
34.8,164,Medium
31.0,200,Medium
32.0,153,Medium
33.8,195,Medium
34.4,172,Medium
31.8,151,Medium
33.5,158,Medium
32.4,196,Medium
34.2,188,Medium
32.1,187,Medium
31.5,183,Medium
31.0,182,Medium
34.9,190,Medium
34.5,188,Medium
32.1,150,Medium
33.7,175,Medium
34.7,172,Medium
32.2,171,Medium
32.8,163,Medium
31.8,193,Medium
31.2,189,Medium
33.9,164,Medium
34.6,155,Medium
33.1,175,Medium
33.1,176,Medium
32.1,169,Medium
33.9,175,Medium
33.4,191,Medium
34.0,177,Medium
34.8,187,Medium
31.2,150,Medium
33.4,168,Medium
32.8,174,Medium
34.4,158,Medium
33.9,164,Medium
31.4,150,Medium
33.6,158,Medium
31.2,172,Medium
34.4,168,Medium
34.2,182,Medium
34.1,195,Medium
31.0,192,Medium
31.7,193,Medium
32.6,163,Medium
31.8,183,Medium
34.4,185,Medium
32.1,151,Medium
33.0,174,Medium
33.7,194,Medium
34.0,192,Medium
32.8,191,Medium
32.9,175,Medium
31.2,162,Medium
31.5,158,Medium
32.4,162,Medium
34.9,178,Medium
34.2,157,Medium
33.7,150,Medium
32.1,185,Medium
31.1,153,Medium
32.6,198,Medium
34.7,155,Medium
32.2,171,Medium
34.8,158,Medium
34.5,186,Medium
33.8,157,Medium
31.1,185,Medium
33.5,152,Medium
32.1,172,Medium
31.8,176,Medium
34.9,153,Medium
32.2,189,Medium
31.2,197,Medium
32.0,200,Medium
31.7,198,Medium
33.0,165,Medium
31.9,189,Medium
32.5,166,Medium
33.6,192,Medium
31.9,161,Medium
33.4,194,Medium
34.4,197,Medium
34.3,170,Medium
33.7,160,Medium
31.2,183,Medium
33.3,155,Medium
32.8,172,Medium
31.1,161,Medium
33.9,197,Medium
31.3,196,Medium
32.9,179,Medium
34.5,161,Medium
33.3,162,Medium
33.0,190,Medium
34.0,171,Medium
31.2,173,Medium
33.3,185,Medium
33.6,159,Medium
32.9,154,Medium
34.5,195,Medium
32.5,173,Medium
31.4,187,Medium
34.1,161,Medium
31.8,152,Medium
33.0,165,Medium
34.0,160,Medium
31.6,194,Medium
31.7,166,Medium
33.4,194,Medium
31.3,154,Medium
32.8,180,Medium
31.3,151,Medium
31.2,151,Medium
32.5,154,Medium
31.4,158,Medium
35.0,190,Medium
32.3,165,Medium
33.1,171,Medium
34.8,172,Medium
33.5,156,Medium
33.0,154,Medium
34.8,176,Medium
32.2,163,Medium
31.6,157,Medium
33.8,192,Medium
33.8,186,Medium
31.1,186,Medium
34.1,151,Medium
32.3,150,Medium
31.4,188,Medium
34.0,152,Medium
33.8,158,Medium
33.0,186,Medium
32.1,177,Medium
32.4,195,Medium
33.2,191,Medium
35.0,190,Medium
33.6,155,Medium
31.2,191,Medium
31.6,179,Medium
33.7,197,Medium
33.2,200,Medium
33.4,158,Medium
34.4,175,Medium
31.7,194,Medium
32.2,193,Medium
33.9,191,Medium
33.1,182,Medium
33.9,164,Medium
32.1,152,Medium
33.6,188,Medium
31.6,181,Medium
31.6,154,Medium
32.2,194,Medium
34.5,194,Medium
33.9,152,Medium
32.2,155,Medium
32.5,194,Medium
32.8,193,Medium
31.3,181,Medium
31.3,198,Medium
33.1,173,Medium
32.2,177,Medium
34.7,191,Medium
31.5,200,Medium
31.1,193,Medium
32.3,200,Medium
32.7,191,Medium
31.8,164,Medium
32.5,172,Medium
34.4,196,Medium
33.7,157,Medium
31.9,177,Medium
32.5,156,Medium
34.2,157,Medium
34.6,193,Medium
33.8,182,Medium
34.0,165,Medium
33.4,177,Medium
33.3,173,Medium
32.0,200,Medium
34.9,150,Medium
34.0,166,Medium
31.9,198,Medium
32.4,190,Medium
34.4,151,Medium
31.2,163,Medium
34.2,189,Medium
33.0,175,Medium
34.0,193,Medium
34.8,168,Medium
34.7,157,Medium
33.4,181,Medium
31.8,190,Medium
33.0,194,Medium
33.5,153,Medium
31.2,161,Medium
31.3,186,Medium
34.8,200,Medium
31.2,159,Medium
32.9,156,Medium
33.9,196,Medium
32.1,188,Medium
32.1,184,Medium
33.1,174,Medium
32.5,170,Medium
33.3,179,Medium
34.6,181,Medium
31.2,150,Medium
32.3,180,Medium
33.3,163,Medium
33.3,185,Medium
31.1,166,Medium
34.9,156,Medium
32.7,193,Medium
34.5,178,Medium
31.3,191,Medium
31.3,154,Medium
32.9,178,Medium
32.6,176,Medium
33.1,167,Medium
33.2,162,Medium
34.6,181,Medium
34.8,154,Medium
31.5,176,Medium
31.1,167,Medium
32.7,150,Medium
31.4,189,Medium
34.0,161,Medium
33.7,184,Medium
34.2,170,Medium
31.7,167,Medium
34.3,195,Medium
32.3,163,Medium
32.9,193,Medium
34.2,159,Medium
31.5,185,Medium
31.8,168,Medium
33.3,200,Medium
34.2,157,Medium
33.3,153,Medium
32.0,173,Medium
32.5,166,Medium
31.1,194,Medium
32.4,196,Medium
31.4,151,Medium
33.3,194,Medium
34.2,182,Medium
31.4,155,Medium
34.5,164,Medium
33.3,179,Medium
33.3,197,Medium
34.8,198,Medium
31.3,157,Medium
31.7,186,Medium
31.6,183,Medium
34.1,173,Medium
31.1,190,Medium
31.7,190,Medium
34.7,162,Medium
32.3,195,Medium
32.1,200,Medium
31.1,189,Medium
32.1,163,Medium
31.5,168,Medium
32.0,167,Medium
33.3,182,Medium
34.7,178,Medium
34.2,150,Medium
31.9,199,Medium
33.5,177,Medium
31.9,199,Medium
33.1,189,Medium
31.1,197,Medium
33.0,195,Medium
31.3,166,Medium
31.6,169,Medium
34.0,183,Medium
34.1,171,Medium
33.9,166,Medium
31.2,191,Medium
33.5,186,Medium
42.3,233,High
37.8,205,High
42.7,239,High
39.0,232,High
40.1,222,High
42.0,212,High
37.4,209,High
39.5,247,High
41.0,207,High
40.3,225,High
42.7,235,High
40.6,218,High
37.6,240,High
41.4,231,High
38.9,246,High
41.7,250,High
38.5,216,High
40.3,220,High
37.4,219,High
38.4,213,High
37.9,234,High
37.7,212,High
42.5,226,High
39.4,206,High
39.7,222,High
40.2,246,High
42.8,201,High
37.8,210,High
39.1,211,High
41.2,235,High
42.6,212,High
39.8,200,High
37.4,204,High
40.7,229,High
40.4,232,High
37.8,237,High
42.7,228,High
39.1,213,High
38.1,238,High
40.9,233,High
39.9,239,High
39.2,233,High
39.5,249,High
42.5,244,High
42.4,207,High
39.3,209,High
42.1,209,High
40.6,247,High
38.8,237,High
40.0,222,High
38.5,237,High
39.9,230,High
39.9,244,High
39.5,211,High
38.2,242,High
42.2,215,High
38.5,226,High
37.5,232,High
42.7,243,High
40.5,238,High
40.8,222,High
37.9,238,High
40.2,231,High
42.0,227,High
39.8,227,High
38.1,226,High
42.3,205,High
40.8,225,High
41.1,215,High
40.6,233,High
41.6,233,High
38.9,225,High
40.1,239,High
40.7,206,High
39.9,247,High
40.5,212,High
42.0,210,High
42.4,235,High
42.2,227,High
41.1,219,High
38.9,208,High
41.2,237,High
40.3,233,High
41.2,237,High
39.3,212,High
41.4,200,High
39.6,230,High
40.3,215,High
39.0,217,High
38.5,220,High
41.6,208,High
39.9,217,High
39.5,203,High
40.4,236,High
38.3,215,High
39.5,230,High
37.9,234,High
42.2,220,High
37.7,235,High
42.0,202,High
38.6,245,High
41.3,212,High
39.9,220,High
40.9,239,High
39.1,247,High
42.4,237,High
38.4,220,High
41.3,245,High
41.4,239,High
42.7,231,High
37.8,222,High
37.3,225,High
42.0,246,High
39.0,225,High
37.7,234,High
41.4,240,High
41.9,222,High
40.4,221,High
39.7,223,High
41.4,226,High
40.7,207,High
42.1,204,High
40.8,238,High
39.4,224,High
40.8,221,High
38.8,241,High
37.2,231,High
38.1,202,High
38.1,213,High
42.4,214,High
42.2,234,High
41.1,231,High
42.5,222,High
39.9,248,High
37.1,217,High
40.8,247,High
39.4,224,High
41.8,225,High
37.9,207,High
38.1,223,High
42.3,217,High
41.8,229,High
39.7,223,High
38.5,236,High
41.0,200,High
42.3,223,High
38.6,250,High
38.1,206,High
42.9,203,High
37.2,209,High
40.3,247,High
38.5,237,High
40.8,239,High
42.2,207,High
42.1,206,High
42.2,200,High
39.9,238,High
40.1,250,High
41.1,201,High
41.2,232,High
37.4,218,High
41.6,208,High
37.2,233,High
41.2,232,High
41.3,233,High
38.6,242,High
41.8,210,High
42.5,226,High
40.6,202,High
37.5,203,High
40.6,220,High
41.7,229,High
41.2,206,High
38.1,203,High
37.8,207,High
40.8,214,High
37.4,208,High
37.7,245,High
38.1,237,High
38.6,236,High
40.1,217,High
41.9,209,High
38.4,229,High
41.1,207,High
37.0,212,High
40.5,230,High
39.4,240,High
40.1,243,High
39.1,230,High
41.9,222,High
38.4,228,High
41.9,235,High
42.1,232,High
38.2,240,High
42.5,225,High
40.4,248,High
40.3,211,High
40.9,206,High
37.5,247,High
38.2,242,High
40.1,241,High
41.3,225,High
40.8,219,High
38.6,230,High
41.4,250,High
37.9,245,High
37.9,239,High
37.8,222,High
37.4,222,High
39.5,205,High
42.3,219,High
41.9,221,High
41.0,214,High
38.2,208,High
38.5,231,High
38.2,242,High
40.2,220,High
40.4,213,High
42.6,211,High
41.6,236,High
37.7,207,High
38.8,232,High
39.0,247,High
38.1,204,High
40.0,245,High
41.5,232,High
42.6,239,High
41.6,236,High
39.3,208,High
42.6,218,High
37.8,218,High
40.1,231,High
39.0,222,High
37.8,248,High
37.1,221,High
41.9,202,High
41.8,223,High
37.3,233,High
41.2,225,High
39.9,222,High
41.8,221,High
40.4,221,High
38.5,241,High
42.5,238,High
39.2,247,High
41.1,247,High
38.6,237,High
41.4,224,High
41.5,220,High
42.5,227,High
42.5,240,High
37.5,230,High
42.9,223,High
42.4,208,High
37.0,229,High
38.1,230,High
37.4,219,High
41.4,205,High
40.6,222,High
41.1,200,High
42.4,204,High
42.8,237,High
42.7,210,High
37.5,214,High
41.1,235,High
42.4,216,High
39.2,219,High
39.3,235,High
38.1,202,High
39.5,239,High
38.4,209,High
40.6,216,High
38.6,205,High
42.9,243,High
39.8,230,High
40.2,241,High
40.2,246,High
40.9,224,High
40.4,208,High
39.7,213,High
41.8,246,High
37.9,225,High
40.5,215,High
40.0,231,High
39.4,223,High
38.8,247,High
38.3,234,High
38.8,208,High
37.1,214,High
41.3,200,High
42.0,231,High
40.1,221,High
40.7,210,High
38.3,244,High
37.9,234,High
41.2,229,High
41.2,226,High
42.3,205,High
38.1,211,High
40.0,235,High
38.3,248,High
43.0,221,High
40.7,235,High
41.7,205,High
42.7,217,High
37.5,221,High
38.9,215,High
40.8,250,High
37.8,205,High
42.4,228,High
40.4,236,High
39.9,203,High
41.9,236,High
42.0,205,High
37.9,221,High
39.2,222,High
39.6,201,High
37.5,213,High
37.9,244,High
39.4,200,High
40.2,211,High
41.7,209,High
42.1,200,High
37.2,234,High
41.0,218,High
40.2,219,High
41.2,202,High
40.4,203,High
38.9,205,High
39.5,239,High
37.7,205,High
37.4,249,High
40.0,218,High
