ECG,Temperature,Stress Level
859,40.3,Medium
612,37.8,Low
427,36.3,Medium
573,37.6,High
210,36.9,High
685,40.4,Medium
992,35.1,Low
573,35.7,Medium
766,35.7,High
957,39.6,Medium
217,37.1,High
839,37.8,Medium
249,39.1,High
432,39.8,Medium
975,38.8,High
706,40.2,High
373,38.3,Medium
459,35.4,High
757,38.0,Medium
985,37.1,Low
417,39.5,Medium
927,37.3,Low
497,38.8,Medium
511,38.9,High
371,36.9,Low
271,35.5,Medium
468,38.8,Low
724,38.4,Medium
304,38.4,Low
621,38.8,Low
467,37.7,High
647,38.7,High
806,39.9,Low
202,39.5,High
280,39.0,High
947,39.5,Low
625,38.8,Low
515,40.3,Medium
610,36.3,Medium
250,36.8,High
397,35.1,Low
327,35.9,Medium
959,35.2,Medium
703,39.6,Medium
558,38.7,High
571,37.2,Low
539,37.4,Low
980,35.6,Medium
715,35.2,Medium
593,37.9,Medium
961,39.3,High
941,40.4,Low
244,35.5,Low
555,39.2,Medium
708,39.1,Low
522,36.4,Medium
714,38.4,High
849,36.4,High
936,37.4,Low
946,38.5,Low
903,37.4,Low
612,39.3,Medium
584,36.6,Low
858,35.3,Medium
888,39.8,Low
720,36.3,High
392,38.4,Low
965,37.8,Low
411,38.8,Medium
482,35.4,Low
644,37.5,High
531,39.3,Medium
610,38.9,High
292,35.7,Medium
315,38.7,Low
823,37.2,Medium
526,35.7,Medium
970,35.6,High
592,36.7,Low
825,40.5,High
888,37.1,Medium
510,39.9,High
258,38.0,High
644,35.1,Medium
622,39.7,Low
496,39.1,High
323,37.1,Low
355,37.1,Low
599,40.5,High
643,37.5,Medium
614,36.6,High
506,35.8,Low
265,36.2,High
540,35.6,Low
888,37.9,Medium
457,35.2,Low
528,37.6,Low
939,36.6,Medium
823,36.2,High
644,36.1,Low
787,39.7,Low
795,35.2,High
350,36.1,Medium
718,38.8,Medium
369,39.9,High
344,37.2,High
867,38.5,High
976,37.9,High
251,37.3,Low
304,37.8,Medium
754,36.8,High
853,37.6,Medium
455,37.2,High
255,35.7,Medium
838,37.2,Medium
268,37.7,Medium
384,39.8,Medium
208,38.7,Low
449,38.8,Medium
454,38.3,High
827,35.6,Low
333,37.3,Low
229,39.4,Medium
419,39.6,High
659,36.7,Low
872,39.3,Low
512,37.4,High
344,37.8,Medium
471,39.2,Low
582,37.2,Medium
858,39.7,High
797,36.4,High
276,37.3,Low
996,39.3,High
488,37.8,Medium
718,38.4,High
459,38.7,Low
371,39.7,Low
803,38.1,Low
268,38.3,Medium
496,40.2,High
868,37.3,Medium
555,39.1,Low
714,37.2,Low
376,38.0,High
611,36.1,Low
771,35.9,Medium
819,38.5,Low
464,38.7,Medium
820,36.8,Medium
552,35.9,Low
578,38.1,Medium
974,40.1,Medium
300,37.2,High
544,37.7,High
658,35.7,Medium
258,38.9,Medium
673,37.8,Low
850,38.1,Medium
669,39.2,High
407,36.9,Low
666,35.6,High
392,40.4,Low
610,35.6,High
937,38.8,High
293,37.3,Medium
234,40.2,High
411,36.6,Low
888,35.2,High
390,38.6,Low
579,36.4,High
435,39.3,Low
223,36.4,Low
369,37.1,Low
238,39.9,Medium
355,37.7,Medium
568,39.5,Low
333,35.7,Low
882,40.3,Medium
421,35.7,Medium
979,35.3,High
827,39.8,Low
486,38.5,Medium
236,38.0,High
745,40.1,High
273,38.1,High
863,37.1,Low
558,36.6,Medium
490,38.5,Low
321,37.5,Medium
284,38.1,Medium
729,40.0,Low
987,40.0,High
867,38.6,Low
404,37.7,High
485,37.9,Low
708,35.6,Low
933,39.0,Medium
672,35.7,High
502,39.5,Medium
392,38.5,High
437,35.6,Low
919,38.4,Low
327,36.6,Medium
468,35.7,Medium
318,38.0,Low
644,38.8,Low
593,38.4,Low
267,37.8,Low
557,38.4,High
381,35.6,Medium
518,36.7,Medium
853,36.9,Medium
795,36.6,High
771,37.7,High
773,39.4,Low
783,39.9,High
520,36.6,Low
362,37.5,Low
374,38.8,Low
596,39.0,Low
829,39.8,Low
201,36.3,Medium
649,39.1,High
876,39.1,Low
854,36.3,Low
780,40.1,Medium
401,40.2,High
847,35.7,High
565,36.7,High
386,39.5,Medium
491,39.6,Low
427,37.2,Medium
459,35.7,Medium
220,37.3,Medium
827,36.7,Medium
537,38.4,Low
756,38.3,Low
496,40.3,High
403,38.5,High
422,35.3,Medium
557,40.0,High
930,39.9,High
997,36.6,High
241,37.1,High
764,40.3,High
275,37.5,Low
541,37.3,Medium
295,40.3,Low
438,35.6,High
901,40.4,High
583,40.1,Medium
431,37.6,High
466,37.6,High
577,35.2,High
630,40.6,Medium
437,35.7,High
220,39.1,High
998,35.7,High
436,37.4,Low
862,39.1,Medium
770,39.4,Low
285,38.0,Medium
458,38.3,Medium
330,35.1,Medium
227,37.9,Low
394,36.1,Low
609,35.2,Medium
718,39.8,High
569,38.5,Medium
814,37.9,Medium
350,40.1,Low
532,39.2,Medium
507,36.4,Medium
775,37.7,High
228,38.4,Low
614,40.1,Low
560,40.2,Medium
999,35.3,Medium
854,36.7,High
632,35.1,High
646,38.7,Medium
345,39.1,Low
248,38.7,Medium
800,35.2,High
870,37.5,High
431,36.6,Medium
294,35.4,Medium
315,39.7,Medium
873,38.8,Low
671,39.7,Medium
591,39.7,Low
874,39.9,Low
631,36.1,Medium
641,38.8,Low
366,37.1,High
361,38.2,Low
921,38.2,High
240,36.7,High
781,38.2,Medium
441,39.6,High
309,36.7,Low
523,35.9,Low
442,39.2,Medium
308,36.9,Low
615,39.9,High
509,37.1,High
543,36.5,Medium
558,38.5,Low
952,36.7,High
534,36.4,Low
292,36.7,High
636,37.7,Low
563,36.7,High
721,35.6,High
398,36.2,Medium
807,37.0,High
623,40.4,Low
304,40.2,Medium
996,39.9,High
241,39.7,High
808,35.6,Medium
821,40.0,Medium
779,36.8,Low
310,38.4,Medium
340,38.1,Low
504,37.8,Low
496,37.1,Low
885,37.4,High
906,35.7,Medium
672,36.6,Medium
697,38.6,Medium
609,35.8,Low
431,36.5,Low
538,37.8,Medium
618,37.2,Medium
232,36.8,Low
632,35.5,Medium
277,35.6,Medium
774,37.6,Low
618,35.4,High
323,38.1,High
683,36.2,High
755,35.3,Low
353,35.7,Medium
551,38.6,Medium
513,38.5,Low
746,38.6,High
949,37.7,Medium
322,37.9,Medium
322,35.6,Low
550,37.3,Medium
769,35.7,Medium
524,35.9,Low
975,37.9,Medium
548,35.8,Low
329,40.2,High
247,35.3,Medium
718,38.7,Medium
267,37.7,Low
293,35.8,High
544,38.8,Low
332,37.8,Low
246,39.2,Medium
811,37.5,High
232,36.9,Medium
567,37.7,High
942,40.2,High
951,40.2,High
865,37.3,Low
895,35.8,Medium
381,38.7,Low
473,35.8,Medium
343,35.6,High
354,37.8,Low
691,38.5,Low
766,37.7,High
708,35.4,Low
313,37.3,Low
211,36.6,Low
501,36.7,Low
633,39.2,Medium
729,39.6,Low
352,40.2,High
516,38.8,Medium
815,36.2,Low
988,38.2,High
932,39.4,Low
267,38.8,Medium
650,38.3,Medium
603,35.6,High
787,36.9,Medium
458,37.3,Low
908,35.8,Low
461,35.1,Low
985,35.2,Low
574,40.0,Low
987,36.9,High
518,35.7,Low
872,37.9,Medium
478,39.1,Low
357,35.8,Medium
360,37.8,Low
212,36.4,Medium
368,36.1,Medium
653,36.8,Low
857,35.6,Low
500,37.4,Medium
562,39.6,Low
326,36.1,High
566,35.6,Medium
645,38.9,High
964,39.7,High
838,35.3,Low
336,39.1,Medium
873,35.4,High
767,36.3,Low
553,35.2,Medium
859,36.7,High
964,38.2,High
205,39.4,Medium
810,35.1,Medium
813,35.4,Medium
406,39.7,Medium
990,36.5,High
530,39.6,Low
258,37.1,Low
984,35.1,Low
809,39.7,High
575,36.6,Low
689,39.8,Medium
887,38.4,Low
370,39.9,High
341,40.1,Medium
475,36.2,High
389,35.0,Medium
433,35.3,High
288,39.1,High
330,37.4,Medium
729,38.5,High
247,38.8,Medium
273,40.4,High
380,36.2,High
315,37.1,High
952,40.2,Medium
651,40.1,Medium
686,38.4,Low
716,36.4,High
289,40.1,Low
322,37.3,Low
975,37.6,Low
295,40.2,Low
514,35.9,High
444,39.0,Medium
851,39.1,Low
410,38.4,High
550,35.7,High
359,39.7,Low
727,35.2,High
776,35.1,High
370,36.2,Medium
486,38.7,Medium
747,38.3,Low
368,40.2,Low
322,36.3,High
662,39.9,High
490,36.6,High
398,39.5,Low
868,40.1,High
680,37.7,High
562,40.6,Medium
902,36.6,Medium
753,39.6,High
630,35.2,Medium
929,38.3,Low
884,36.9,Medium
692,38.4,Medium
708,39.4,High
368,37.9,Low
836,36.8,High
526,39.1,High
669,39.7,Low
808,38.4,Medium
750,38.9,High
446,39.7,High
975,39.8,High
281,35.8,High
409,35.9,High
674,35.2,High
902,40.1,High
364,37.2,Low
365,37.4,Low
492,36.8,High
380,38.1,High
242,40.1,Low
697,35.5,Medium
910,37.2,High
752,35.2,Medium
836,40.5,Medium
518,35.2,Medium
556,38.8,High
499,36.4,Low
519,35.3,High
992,39.3,Low
576,40.2,Medium
528,37.4,High
988,37.8,High
555,36.3,Low
450,39.7,Low
670,38.7,Low
547,37.7,High
677,35.0,Medium
961,39.7,Medium
896,36.2,Low
552,35.1,High
993,36.9,Low
504,36.4,Low
539,37.9,Medium
235,35.2,Medium
660,35.3,Low
874,38.3,High
724,38.3,High
608,36.7,Low
738,38.9,Low
448,37.2,Medium
339,36.9,Low
668,35.8,Medium
881,39.0,High
988,40.2,Low
334,35.5,High
657,35.8,Medium
371,38.6,Low
648,38.7,High
263,35.1,High
759,35.8,Low
543,38.3,Medium
378,35.9,Low
331,35.2,Low
559,38.4,Low
403,39.9,Medium
907,40.3,Medium
809,35.1,High
271,36.3,Medium
553,36.9,Low
554,35.2,High
440,38.9,Medium
341,40.4,Medium
736,35.3,Low
638,40.6,Low
333,39.1,Medium
935,40.1,Low
293,40.1,High
475,39.1,Medium
274,38.7,Low
820,39.1,High
419,40.3,Medium
457,38.1,Low
492,38.6,High
475,39.2,Medium
711,39.6,Low
660,39.7,Low
546,40.3,Medium
248,36.0,Medium
425,35.8,Low
305,40.3,High
979,36.3,Low
857,37.3,High
895,38.2,Medium
889,36.3,Low
735,38.7,Medium
690,39.6,Low
594,37.3,High
746,39.3,High
576,40.5,High
293,38.3,High
641,39.6,Low
587,36.7,High
489,37.8,Low
502,39.0,Medium
376,38.1,High
272,38.5,Medium
225,35.9,Medium
984,36.2,Medium
851,38.9,Medium
636,35.8,Low
418,35.6,High
887,40.5,Low
329,36.7,Medium
649,38.6,Low
806,38.7,Low
320,40.5,High
559,35.7,Low
209,37.2,Medium
891,35.4,High
865,35.2,Medium
292,38.2,Low
559,39.3,Medium
642,39.2,High
562,38.4,Medium
281,37.2,Low
216,38.2,High
370,39.1,Low
795,38.0,Medium
853,37.5,Medium
877,35.7,Medium
392,35.2,Medium
610,36.9,Low
947,37.7,Medium
450,35.3,High
657,40.6,Low
589,35.6,Low
464,35.4,Low
535,35.2,Medium
260,38.8,Low
350,40.3,High
515,35.9,Medium
583,37.7,High
266,37.7,Medium
383,39.3,High
275,39.4,Low
910,37.3,High
296,35.8,High
792,38.5,Medium
236,40.2,Low
519,36.4,Low
952,38.1,Medium
548,40.0,High
407,38.4,Low
335,39.9,Low
839,40.2,High
425,35.6,High
604,35.7,Low
279,35.4,Low
785,39.2,Medium
644,37.6,Medium
712,39.9,Low
946,36.3,Low
372,39.9,High
760,40.1,Medium
451,38.2,High
315,40.1,High
614,36.3,Medium
531,40.3,Low
768,38.4,Low
357,39.7,Low
759,38.7,Medium
900,36.4,High
843,35.7,High
644,36.1,High
376,36.8,High
938,35.1,Low
993,37.1,High
347,38.1,High
328,37.9,Medium
658,35.1,Medium
994,37.3,Medium
728,37.5,Low
889,40.6,Low
697,35.4,Low
712,36.0,Low
457,38.6,High
890,37.2,High
504,35.6,Low
850,38.4,Low
289,35.0,Medium
883,39.2,High
439,38.4,High
895,36.4,Low
353,35.5,Low
584,35.7,Medium
965,35.6,Low
853,36.2,High
556,36.6,Medium
587,35.7,Medium
764,39.8,Medium
557,39.1,Low
402,35.1,Medium
629,35.7,Low
313,37.6,Medium
319,39.8,Medium
902,36.9,Low
554,39.1,Low
649,40.5,Low
224,37.3,Low
681,35.4,High
778,36.8,High
288,39.8,Medium
530,38.6,Medium
251,39.7,Low
762,35.2,Medium
865,39.4,Low
236,37.3,High
638,36.6,Medium
958,37.5,Low
982,39.3,High
930,35.8,High
333,39.2,High
855,36.4,Low
530,35.3,Low
297,39.8,Low
822,36.2,High
800,38.8,Medium
830,35.9,High
433,40.3,Low
254,36.0,Low
718,40.2,High
640,38.9,Low
834,38.0,Medium
203,38.8,Low
816,35.7,Low
467,40.3,Low
246,37.0,Low
880,38.4,Low
845,37.8,Medium
820,38.9,Low
726,36.8,Low
295,37.9,Medium
802,36.1,Medium
706,39.1,Medium
995,38.5,Low
727,38.7,Medium
266,36.8,High
749,38.2,Low
867,35.6,High
865,39.9,Medium
210,39.2,Medium
669,39.7,Medium
302,38.9,Medium
523,39.9,Low
358,36.6,Low
664,37.6,High
598,36.9,Medium
900,38.9,Medium
511,35.6,High
433,38.7,High
549,35.6,Medium
824,38.7,High
288,39.3,High
999,39.0,Low
692,38.3,Medium
431,37.7,Low
613,37.6,Medium
395,35.2,Medium
490,36.9,Low
962,37.7,High
462,38.4,Medium
870,37.4,Low
334,39.3,Low
962,37.9,Low
777,40.0,Low
549,35.9,Medium
776,39.2,High
754,36.7,High
690,40.5,High
547,36.6,High
563,38.1,High
379,35.5,Medium
747,38.6,Low
267,35.1,Low
242,38.2,Medium
843,39.2,Low
677,38.1,High
263,36.2,High
286,35.1,Low
564,39.5,Low
266,39.9,Medium
546,39.2,Medium
387,36.9,Medium
475,37.9,Low
929,35.1,Medium
839,38.1,Medium
327,37.0,High
999,38.3,Medium
461,35.1,Medium
306,39.9,High
491,35.3,High
419,37.3,Low
203,38.4,Medium
478,38.2,Medium
580,38.3,Low
749,35.9,Low
452,36.4,High
595,40.2,Low
976,36.8,High
741,38.1,High
606,40.6,Medium
277,36.3,Medium
818,40.1,Low
563,37.1,High
371,35.7,Medium
249,40.4,High
878,38.9,Medium
604,40.2,Medium
697,39.6,Medium
936,36.4,Medium
349,36.1,Medium
840,39.2,High
644,38.9,Low
964,35.3,High
880,36.3,High
704,36.7,High
620,39.1,Low
